"LitGuide0000";0;"LitGuide0000";"Guides";"Sprache und Literatur";"lkl=IA or lkl=IB or lkl=IC or lkl=IE";"Language and literature "
"LitGuide0050";1;"LitGuide0050";"LitGuide0000";"Englische Philologie (Groﬂbritannien, Irland, Commonwealth insgesamt)";"lkl=IA";"English language and literature (Great Britain, Ireland, Commonwealth general) "
"LitGuide0100";2;"LitGuide0100";"LitGuide0050";"Sprache und Literatur: Allgemeines";"lkl=IA 2";"Language and literature: General reference "
"LitGuide0150";3;"LitGuide0150";"LitGuide0100";"Forschungseinrichtungen und Fachgesellschaften";"lkl=IA 220";"Research associations and organizations "
"LitGuide0200";2;"LitGuide0200";"LitGuide0050";"Sprachwissenschaft";"lkl=IA 3";"Linguistics "
"LitGuide0210";3;"LitGuide0210";"LitGuide0200";"Historische und vergleichende Sprachwissenschaft";"lkl=IA 320 or lkl=IA 321 or lkl=IA 322 or lkl=IA 323";"Historical and comparative linguistics "
"LitGuide0250";3;"LitGuide0250";"LitGuide0200";"Grammatik";"lkl=IA 33";"Grammar "
"LitGuide0300";3;"LitGuide0300";"LitGuide0200";"Syntax, Etymologie, Semantik";"lkl=IA 34 or lkl=IA 35";"Syntax, etymology, semantics "
"LitGuide0350";3;"LitGuide0350";"LitGuide0200";"Stilistik und Rhetorik";"lkl=IA 36";"Stylistics and rhetoric "
"LitGuide0400";3;"LitGuide0400";"LitGuide0200";"Angewandte Sprachwissenschaft, Zweitspracherwerb, Sprachdidaktik";"lkl=IA 37 or (lkl=IA and bkl=17.41) or (lkl=IA and bkl=17.43)";"Applied linguistics, second language acquisition, language teaching  "
"LitGuide0450";2;"LitGuide0450";"LitGuide0050";"Textsammlungen";"lkl=IA 4";"Text collections "
"LitGuide0500";3;"LitGuide0500";"LitGuide0450";"Versdichtung";"lkl=IA 431 or lkl=IA 432 or lkl=IA 433";"Poetry "
"LitGuide0550";3;"LitGuide0550";"LitGuide0450";"Drama";"lkl=IA 434";"Drama "
"LitGuide0600";3;"LitGuide0600";"LitGuide0450";"Prosa";"lkl=IA 435 or lkl=IA 436 or lkl=IA 437 or lkl=IA 438 or lkl=IA 439";"Prose "
"LitGuide0650";3;"LitGuide0600";"LitGuide0450";"Thematische Textsammlungen";"lkl=IA 44 or lkl=IA 45";"Thematic collections of texts"
"LitGuide0700";2;"LitGuide0700";"LitGuide0050";"Literaturwissenschaft";"lkl=IA 5";"Literary studies"
"LitGuide0750";3;"LitGuide0750";"LitGuide0700";"Literaturtheorie, Literaturkritik";"lkl=IA 510 or lkl=IA 512 or lkl=IA 513 or (lkl=IA and bkl=17.73)";"Literary theory and criticism "
"LitGuide0800";3;"LitGuide0800";"LitGuide0700";"Literatur und Gesellschaft";"lkl=IA 52";"Literature and society "
"LitGuide0850";3;"LitGuide0850";"LitGuide0700";"Literarische Gattungen (Versdichtung, Drama, Prosa)";"lkl=IA 53";"Literary genres (verse, drama, prose)"
"LitGuide0900";3;"LitGuide0900";"LitGuide0700";"Inhaltsgebundene Literatur";"lkl=IA 54 or lkl=IA 55";"Specific kinds of literature "
"LitGuide0950";3;"LitGuide0950";"LitGuide0700";"Stoff- und Motivgeschichte";"lkl=IA 560";"Themes in literature "
"LitGuide1000";3;"LitGuide1000";"LitGuide0700";"Literatur einzelner Gruppen und Regionen";"lkl=IA 57";"Texts by individual groups minorities and regions "
"LitGuide1050";3;"LitGuide1050";"LitGuide0700";"Literaturgeschichte";"lkl=IA 580";"Literary history "
"LitGuide1100";2;"LitGuide1100";"LitGuide0050";"Einzelne Autoren und Werke";"lkl=IA 6";"Individual authors and works "
"LitGuide1150";3;"LitGuide1150";"LitGuide1100";"Leben und Werk";"lkl=IA 6 not (lkl=IA 610 or lkl=IA 661 or lkl=IA 663 or lkl=IA 665 or lkl=IA 667)";"Life and work "
"LitGuide1200";3;"LitGuide1200";"LitGuide1100";"Versdichtung (Prim‰r- und Sekund‰rliteratur)";"lkl=IA 661 or lkl=IA 662";"Poetry (criticism and texts)"
"LitGuide1250";3;"LitGuide1250";"LitGuide1100";"Drama (Prim‰r- und Sekund‰rliteratur)";"lkl=IA 663 or lkl=IA 664";"Drama (criticism and texts) "
"LitGuide1300";3;"LitGuide1300";"LitGuide1100";"Prosa (Prim‰r- und Sekund‰rliteratur)";"lkl=IA 665 or lkl=IA 666";"Prose (criticism and texts) "
"LitGuide1350";3;"LitGuide1350";"LitGuide1100";"Sonstige Gattungen";"lkl=IA 667 or lkl=IA 668";"Other (texts and criticism) "
"LitGuide1400";2;"LitGuide1400";"LitGuide0050";"Altenglisch";"lkl=IAB";"Old English"
"LitGuide1450";2;"LitGuide1450";"LitGuide0050";"Mittelenglisch";"lkl=IAD";"Middle English "
"LitGuide1500";2;"LitGuide1500";"LitGuide0050";"Englische Sprache und Literatur in Irland";"lkl=IAF";"English language and literature in Irleland "
"LitGuide1550";2;"LitGuide1550";"LitGuide0050";"Englische Sprache und Literatur in Schottland";"lkl=IAH";"English language and literature in Scotland "
"LitGuide1600";2;"LitGuide1600";"LitGuide0050";"Englische Sprache und Literatur in Wales";"lkl=IAJ";"English language and literature in Wales "
;;;;;;
"LitGuide1650";1;"LitGuide1650";"LitGuide0000";"Commonwealth";"lkl=IB";"New literatures in English"
"LitGuide1700";2;"LitGuide1700";"LitGuide1650";"Englische Literatur auﬂerhalb von Groﬂbritannien und Irland";"lkl=IB";"English literature outside the UK and Ireland"
"LitGuide1750";2;"LitGuide1750";"LitGuide1650";"Australien";"lkl=IBB";"Australia "
"LitGuide1800";2;"LitGuide1800";"LitGuide1650";"Neuseeland";"lkl=IBG";"New Zealand  "
"LitGuide1850";2;"LitGuide1850";"LitGuide1650";"Kanda";"lkl=IBJ";"Canada "
"LitGuide1900";2;"LitGuide1900";"LitGuide1650";"Afrika";"lkl=IBM";"Africa"
"LitGuide1950";2;"LitGuide1950";"LitGuide1650";"Karibik";"lkl=IBO";"Caribbean "
"LitGuide2000";2;"LitGuide2000";"LitGuide1650";"Asien und Ozeanien";"lkl=IBR";"Asia and Oceania "
"LitGuide2050";2;"LitGuide2050";"LitGuide1650";"Indien";"lkl=IBW";"India "
;;;;;;
